Top 50 Most Frequent Topics per News Source
===============================================

--- ALJAZEERA ---
 9. 87_americans_percent_poll_yale (8 articles)
10. 2_ice_arctic_sheet_sea (8 articles)
11. 500_wallacewells_haiku_my_fiction (8 articles)
12. 51_fire_california_fires_wildfires (7 articles)
13. 9_heat_heatwaves_europe_extreme (7 articles)
14. 15_china_chinese_chinas_beijing (7 articles)
15. 531_york_sandy_city_storm (6 articles)
16. 50_russian_ukraine_ukrainian_putin (6 articles)
17. 400_francis_pope_encyclical_catholic (6 articles)
18. 77_fish_salmon_species_lobster (6 articles)
19. 44_maui_hawaii_lahaina_fire (4 articles)
20. 24_montana_plaintiffs_trial_state (4 articles)
21. 58_plastic_plastics_waste_bags (4 articles)
22. 549_gates_mars_microsoft_book (4 articles)
23. 446_smoke_air_wildfires_canada (4 articles)
24. 555_economic_gdp_countries_study (4 articles)
25. 63_gloninger_journalists_meteorologist_meteorologists (4 articles)
26. 28_tuvalu_tuvalus_nantucket_tuvaluan (3 articles)
27. 33_hurricane_hurricanes_storms_storm (3 articles)
28. 139_music_song_art_museum (3 articles)
29. 435_children_child_having_kids (3 articles)
30. 27_reef_coral_bleaching_reefs (3 articles)
31. 36_soil_biodiversity_land_soils (3 articles)
32. 494_agreement_paris_withdrawal_trump (3 articles)
33. 32_pandemic_coronavirus_covid_virus (3 articles)
34. 463_debt_default_house_mccarthy (3 articles)
35. 658_beer_sewage_singapore_craft (3 articles)
36. 66_hockey_stick_age_period (3 articles)
37. 10_uk_ccc_net_zero (3 articles)
38. 34_evs_nuclear_cannabis_ev (3 articles)
39. 223_sanders_biden_medicare_recommendations (3 articles)
40. 561_court_supreme_epa_justices (3 articles)
41. 43_malaria_mosquitoes_dengue_mosquito (3 articles)
42. 21_trees_forests_tree_planting (3 articles)
43. 17_companies_fink_blackrock_firms (3 articles)
44. 23_health_lancet_diseases_pollution (3 articles)
45. 26_geoengineering_srm_clouds_stratosphere (3 articles)
46. 497_fukushima_treated_japan_discharge (2 articles)
47. 449_insurance_homeowners_flood_hurricane (2 articles)
48. 40_monsoon_rains_india_himachal (2 articles)
49. 360_kerry_kerrys_john_biden (2 articles)
50. 491_sea_waves_level_rise (2 articles)

--- BATIMES ---
 1. -1_in_the_that_of (85 articles)
 2. 3_amazon_brazil_deforestation_lula (40 articles)
 3. 267_argentina_argentinas_massa_milei (36 articles)
 4. 0_ipcc_countries_un_report (15 articles)
 5. 2_ice_arctic_sheet_sea (8 articles)
 6. 14_prince_charles_king_william (6 articles)
 7. 486_lithium_mining_nickel_metals (5 articles)
 8. 408_cup_game_messi_coach (4 articles)
 9. 46_inflation_rates_interest_prices (3 articles)
10. 400_francis_pope_encyclical_catholic (3 articles)
11. 9_heat_heatwaves_europe_extreme (3 articles)
12. 597_nino_el_wmo_pattern (3 articles)
13. 6_meat_food_foods_beef (3 articles)
14. 18_brazil_brazilian_bolsonaro_deaths (2 articles)
15. 655_record_taalas_wmo_glaciers (2 articles)
16. 533_oil_barrels_prices_demand (2 articles)
17. 494_agreement_paris_withdrawal_trump (2 articles)
18. 519_wmo_preindustrial_taalas_threshold (2 articles)
19. 12_greece_heatwave_europe_italy (2 articles)
20. 15_china_chinese_chinas_beijing (2 articles)
21. 19_beach_coastal_beaches_sea (1 articles)
22. 119_japan_kishida_hiroshima_japanese (1 articles)
23. 16_china_kerry_chinese_beijing (1 articles)
24. 573_algae_snow_blooms_microscopic (1 articles)
25. 538_bats_viruses_zoonotic_wildlife (1 articles)
26. 27_reef_coral_bleaching_reefs (1 articles)
27. 489_exxon_oil_shareholders_company (1 articles)
28. 5_biden_bidens_clean_energy (1 articles)
29. 301_eu_european_eus_member (1 articles)
30. 499_germany_germanys_german_afd (1 articles)
31. 68_biological_upton_offset_approach (1 articles)
32. 427_twitter_musk_users_misinformation (1 articles)
33. 422_capture_co_air_carbon (1 articles)
34. 493_disasters_wmo_losses_deaths (1 articles)
35. 30_ai_chatgpt_intelligence_artificial (1 articles)
36. 8_africa_kenya_african_continent (1 articles)
37. 22_dioxide_ppm_atmosphere_co (1 articles)
38. 32_pandemic_coronavirus_covid_virus (1 articles)
39. 500_wallacewells_haiku_my_fiction (1 articles)
40. 631_rings_tree_ring_trouet (1 articles)
41. 56_wine_grapes_varieties_vineyards (1 articles)
42. 638_grain_ukraine_ukrainian_russia (1 articles)
43. 584_erdogan_turkeys_turkish_turkey (1 articles)
44. 639_guterres_madrid_betrayal_conference (1 articles)
45. 588_milestones_progress_wri_exponential (1 articles)
46. 509_lake_lakes_water_yao (1 articles)
47. 23_health_lancet_diseases_pollution (1 articles)
48. 491_sea_waves_level_rise (1 articles)
49. 593_undp_flynn_survey_poll (1 articles)
50. 36_soil_biodiversity_land_soils (1 articles)

--- BBC ---
 1. -1_in_the_that_of (269 articles)
 2. 0_ipcc_countries_un_report (95 articles)
 3. 10_uk_ccc_net_zero (53 articles)
 4. 471_denmark_danish_frederik_profile (30 articles)
 5. 2_ice_arctic_sheet_sea (27 articles)
 6. 508_norway_norwegian_king_harald (23 articles)
 7. 539_norway_norwegian_king_norways (20 articles)
 8. 603_denmark_danish_profile_greenland (14 articles)
 9. 12_greece_heatwave_europe_italy (14 articles)
10. 6_meat_food_foods_beef (12 articles)
11. 11_protest_rebellion_protesters_police (12 articles)
12. 21_trees_forests_tree_planting (11 articles)
13. 1_australia_apps_albanese_australias (11 articles)
14. 13_record_july_copernicus_hottest (11 articles)
15. 3_amazon_brazil_deforestation_lula (11 articles)
16. 477_boyd_england_juniper_wildlife (10 articles)
17. 47_sunak_labour_keir_secretary (9 articles)
18. 423_uk_met_office_records (9 articles)
19. 422_capture_co_air_carbon (9 articles)
20. 19_beach_coastal_beaches_sea (8 articles)
21. 556_rosebank_oil_licences_uk (8 articles)
22. 290_china_chinas_xi_energy (8 articles)
23. 22_dioxide_ppm_atmosphere_co (7 articles)
24. 52_insects_butterflies_bees_butterfly (7 articles)
25. 61_uae_cop_jaber_al (7 articles)
26. 582_peat_peatlands_peatland_wetlands (7 articles)
27. 493_disasters_wmo_losses_deaths (6 articles)
28. 261_phoenix_heat_arizona_degrees (6 articles)
29. 450_shipping_imo_ships_maritime (5 articles)
30. 7_kenya_food_africa_drought (5 articles)
31. 16_china_kerry_chinese_beijing (5 articles)
32. 607_ulez_london_zone_khan (5 articles)
33. 39_education_students_curriculum_teachers (5 articles)
34. 33_hurricane_hurricanes_storms_storm (5 articles)
35. 494_agreement_paris_withdrawal_trump (5 articles)
36. 40_monsoon_rains_india_himachal (5 articles)
37. 29_india_heat_asia_thailand (5 articles)
38. 522_anxiety_feelings_ecoanxiety_feel (5 articles)
39. 139_music_song_art_museum (5 articles)
40. 301_eu_european_eus_member (5 articles)
41. 364_court_case_dutch_litigation (5 articles)
42. 32_pandemic_coronavirus_covid_virus (4 articles)
43. 79_birds_bird_tits_breeding (4 articles)
44. 564_ccc_uk_committee_adaptation (4 articles)
45. 427_twitter_musk_users_misinformation (4 articles)
46. 465_uk_nights_weather_met (4 articles)
47. 504_amoc_atlantic_collapse_circulation (4 articles)
48. 542_christofilouthe_angela_young_children (4 articles)
49. 333_methane_potent_atmosphere_gas (4 articles)
50. 452_italian_berlusconi_italys_italy (4 articles)

--- CHINA_DAILY ---
 1. -1_in_the_that_of (287 articles)
 2. 15_china_chinese_chinas_beijing (35 articles)
 3. 16_china_kerry_chinese_beijing (31 articles)
 4. 490_development_china_green_chinas (26 articles)
 5. 586_gdi_development_initiative_china (16 articles)
 6. 290_china_chinas_xi_energy (14 articles)
 7. 0_ipcc_countries_un_report (9 articles)
 8. 3_amazon_brazil_deforestation_lula (8 articles)
 9. 612_yangtze_china_sichuan_river (8 articles)
10. 571_beijing_meteorological_china_shanghai (7 articles)
11. 611_xdi_china_chinas_adaptation (7 articles)
12. 12_greece_heatwave_europe_italy (7 articles)
13. 13_record_july_copernicus_hottest (6 articles)
14. 476_everest_climbers_nepal_mountain (6 articles)
15. 510_cop_sharm_elsheikh_egypt (6 articles)
16. 36_soil_biodiversity_land_soils (5 articles)
17. 29_india_heat_asia_thailand (5 articles)
18. 23_health_lancet_diseases_pollution (5 articles)
19. 6_meat_food_foods_beef (5 articles)
20. 97_el_nino_nina_la (4 articles)
21. 61_uae_cop_jaber_al (4 articles)
22. 43_malaria_mosquitoes_dengue_mosquito (4 articles)
23. 502_damage_loss_countries_fund (4 articles)
24. 7_kenya_food_africa_drought (4 articles)
25. 2_ice_arctic_sheet_sea (4 articles)
26. 301_eu_european_eus_member (4 articles)
27. 583_hunger_food_insecurity_nutrition (4 articles)
28. 8_africa_kenya_african_continent (3 articles)
29. 594_texas_heat_deaths_dome (3 articles)
30. 472_children_unicef_childrens_child (3 articles)
31. 478_debt_imf_countries_mottley (3 articles)
32. 503_copernicus_europe_recordbreaking_record (3 articles)
33. 119_japan_kishida_hiroshima_japanese (3 articles)
34. 44_maui_hawaii_lahaina_fire (3 articles)
35. 579_hebei_beijing_province_chinas (2 articles)
36. 5_biden_bidens_clean_energy (2 articles)
37. 410_trn_exacerbating_aggregate_thinkstock (2 articles)
38. 292_women_gender_girls_womens (2 articles)
39. 30_ai_chatgpt_intelligence_artificial (2 articles)
40. 452_italian_berlusconi_italys_italy (2 articles)
41. 549_gates_mars_microsoft_book (2 articles)
42. 434_water_jarraud_groundwater_supplies (2 articles)
43. 21_trees_forests_tree_planting (2 articles)
44. 446_smoke_air_wildfires_canada (2 articles)
45. 58_plastic_plastics_waste_bags (2 articles)
46. 564_ccc_uk_committee_adaptation (2 articles)
47. 492_wmo_degrees_el_nino (2 articles)
48. 1_australia_apps_albanese_australias (2 articles)
49. 675_golf_spain_courses_olive (2 articles)
50. 185_peters_marches_buyback_bilateral (1 articles)

--- CNN ---
 1. -1_in_the_that_of (261 articles)
 2. 0_ipcc_countries_un_report (52 articles)
 3. 5_biden_bidens_clean_energy (21 articles)
 4. 2_ice_arctic_sheet_sea (18 articles)
 5. 13_record_july_copernicus_hottest (13 articles)
 6. 51_fire_california_fires_wildfires (13 articles)
 7. 33_hurricane_hurricanes_storms_storm (12 articles)
 8. 38_trump_administration_bridenstine_epa (12 articles)
 9. 17_companies_fink_blackrock_firms (12 articles)
10. 9_heat_heatwaves_europe_extreme (11 articles)
11. 439_colorado_river_water_basin (9 articles)
12. 29_india_heat_asia_thailand (9 articles)
13. 7_kenya_food_africa_drought (8 articles)
14. 23_health_lancet_diseases_pollution (8 articles)
15. 12_greece_heatwave_europe_italy (8 articles)
16. 261_phoenix_heat_arizona_degrees (8 articles)
17. 21_trees_forests_tree_planting (7 articles)
18. 25_candidates_republicans_democrats_inslee (7 articles)
19. 6_meat_food_foods_beef (7 articles)
20. 452_italian_berlusconi_italys_italy (6 articles)
21. 40_monsoon_rains_india_himachal (6 articles)
22. 513_bezos_amazon_employees_walkout (6 articles)
23. 1_australia_apps_albanese_australias (6 articles)
24. 3_amazon_brazil_deforestation_lula (6 articles)
25. 463_debt_default_house_mccarthy (6 articles)
26. 360_kerry_kerrys_john_biden (5 articles)
27. 446_smoke_air_wildfires_canada (5 articles)
28. 484_tornadoes_tornado_gensini_brooks (5 articles)
29. 48_ocean_oceans_heat_surface (5 articles)
30. 294_biden_bidens_agreement_president (5 articles)
31. 32_pandemic_coronavirus_covid_virus (5 articles)
32. 43_malaria_mosquitoes_dengue_mosquito (5 articles)
33. 27_reef_coral_bleaching_reefs (4 articles)
34. 579_hebei_beijing_province_chinas (4 articles)
35. 214_military_security_defense_pentagon (4 articles)
36. 10_uk_ccc_net_zero (4 articles)
37. 449_insurance_homeowners_flood_hurricane (4 articles)
38. 450_shipping_imo_ships_maritime (4 articles)
39. 571_beijing_meteorological_china_shanghai (4 articles)
40. 50_russian_ukraine_ukrainian_putin (4 articles)
41. 14_prince_charles_king_william (4 articles)
42. 533_oil_barrels_prices_demand (4 articles)
43. 535_desantis_florida_governor_republican (4 articles)
44. 561_court_supreme_epa_justices (4 articles)
45. 364_court_case_dutch_litigation (4 articles)
46. 400_francis_pope_encyclical_catholic (4 articles)
47. 44_maui_hawaii_lahaina_fire (3 articles)
48. 46_inflation_rates_interest_prices (3 articles)
49. 24_montana_plaintiffs_trial_state (3 articles)
50. 566_heat_sweat_body_linden (3 articles)

--- DAILY_NATION ---
 1. -1_in_the_that_of (174 articles)
 2. 8_africa_kenya_african_continent (123 articles)
 3. 7_kenya_food_africa_drought (93 articles)
 4. 488_forest_trees_timber_forests (22 articles)
 5. 292_women_gender_girls_womens (20 articles)
 6. 0_ipcc_countries_un_report (18 articles)
 7. 4_nigeria_state_nigerian_sudan (9 articles)
 8. 23_health_lancet_diseases_pollution (9 articles)
 9. 43_malaria_mosquitoes_dengue_mosquito (9 articles)
10. 61_uae_cop_jaber_al (8 articles)
11. 58_plastic_plastics_waste_bags (6 articles)
12. 6_meat_food_foods_beef (6 articles)
13. 22_dioxide_ppm_atmosphere_co (5 articles)
14. 472_children_unicef_childrens_child (5 articles)
15. 516_sport_athletes_sports_athletics (5 articles)
16. 510_cop_sharm_elsheikh_egypt (4 articles)
17. 21_trees_forests_tree_planting (4 articles)
18. 628_waste_wastetoenergy_incinerators_bray (4 articles)
19. 583_hunger_food_insecurity_nutrition (3 articles)
20. 13_record_july_copernicus_hottest (3 articles)
21. 30_ai_chatgpt_intelligence_artificial (2 articles)
22. 315_deaths_heat_heatrelated_mortality (2 articles)
23. 450_shipping_imo_ships_maritime (2 articles)
24. 491_sea_waves_level_rise (2 articles)
25. 476_everest_climbers_nepal_mountain (2 articles)
26. 290_china_chinas_xi_energy (2 articles)
27. 99_aviation_airlines_saf_flight (2 articles)
28. 77_fish_salmon_species_lobster (2 articles)
29. 39_education_students_curriculum_teachers (2 articles)
30. 643_oil_southbank_trinidad_ones (1 articles)
31. 144_native_bees_kauri_whales (1 articles)
32. 630_pastures_urine_cattle_methane (1 articles)
33. 507_niche_heating_exposed_lenton (1 articles)
34. 464_vanuatu_icj_court_legal (1 articles)
35. 581_mental_obradovich_health_afp (1 articles)
36. 26_geoengineering_srm_clouds_stratosphere (1 articles)
37. 9_heat_heatwaves_europe_extreme (1 articles)
38. 621_boundaries_planetary_boundary_safe (1 articles)
39. 3_amazon_brazil_deforestation_lula (1 articles)
40. 452_italian_berlusconi_italys_italy (1 articles)
41. 670_mcglade_crops_cyanide_chemicals (1 articles)
42. 634_gene_editing_itif_cows (1 articles)
43. 139_music_song_art_museum (1 articles)
44. 14_prince_charles_king_william (1 articles)
45. 534_clock_golan_counting_boyd (1 articles)
46. 34_evs_nuclear_cannabis_ev (1 articles)
47. 478_debt_imf_countries_mottley (1 articles)
48. 44_maui_hawaii_lahaina_fire (1 articles)
49. 294_biden_bidens_agreement_president (1 articles)
50. 652_fertility_population_growth_demographic (1 articles)

--- DAILY_POST ---
 1. 4_nigeria_state_nigerian_sudan (168 articles)
 2. -1_in_the_that_of (62 articles)
 3. 8_africa_kenya_african_continent (11 articles)
 4. 139_music_song_art_museum (5 articles)
 5. 488_forest_trees_timber_forests (5 articles)
 6. 46_inflation_rates_interest_prices (3 articles)
 7. 43_malaria_mosquitoes_dengue_mosquito (2 articles)
 8. 628_waste_wastetoenergy_incinerators_bray (2 articles)
 9. 292_women_gender_girls_womens (2 articles)
10. 23_health_lancet_diseases_pollution (2 articles)
11. 408_cup_game_messi_coach (1 articles)
12. 545_energy_coal_iea_lng (1 articles)
13. 0_ipcc_countries_un_report (1 articles)
14. 29_india_heat_asia_thailand (1 articles)
15. 560_parking_transport_bike_driving (1 articles)
16. 386_police_traffic_blockade_protesters (1 articles)
17. 626_tax_ton_tonnes_helm (1 articles)
18. 662_black_projection_heatwaves_nderstanding (1 articles)
19. 294_biden_bidens_agreement_president (1 articles)
20. 616_griffin_insurance_unpriced_risk (1 articles)
21. 583_hunger_food_insecurity_nutrition (1 articles)
22. 196_corporates_wylie_nuisance_judge (1 articles)
23. 32_pandemic_coronavirus_covid_virus (1 articles)
24. 572_fashion_clothes_cotton_clothing (1 articles)
25. 58_plastic_plastics_waste_bags (1 articles)
26. 494_agreement_paris_withdrawal_trump (1 articles)
27. 105_tax_shaw_davidson_greens (1 articles)
28. 161_thunberg_greta_her_thunbergs (1 articles)
29. 1_australia_apps_albanese_australias (1 articles)
30. 120_migration_displacement_displaced_refugees (1 articles)
31. 472_children_unicef_childrens_child (1 articles)
32. 333_methane_potent_atmosphere_gas (1 articles)
33. 135_adaptation_recommendations_lawrence_sealevel (1 articles)

--- DAILYMAIL ---
 1. -1_in_the_that_of (310 articles)
 2. 1_australia_apps_albanese_australias (59 articles)
 3. 11_protest_rebellion_protesters_police (42 articles)
 4. 0_ipcc_countries_un_report (36 articles)
 5. 14_prince_charles_king_william (31 articles)
 6. 2_ice_arctic_sheet_sea (30 articles)
 7. 6_meat_food_foods_beef (19 articles)
 8. 386_police_traffic_blockade_protesters (18 articles)
 9. 47_sunak_labour_keir_secretary (17 articles)
10. 10_uk_ccc_net_zero (17 articles)
11. 12_greece_heatwave_europe_italy (14 articles)
12. 79_birds_bird_tits_breeding (10 articles)
13. 19_beach_coastal_beaches_sea (10 articles)
14. 52_insects_butterflies_bees_butterfly (10 articles)
15. 43_malaria_mosquitoes_dengue_mosquito (9 articles)
16. 423_uk_met_office_records (9 articles)
17. 9_heat_heatwaves_europe_extreme (8 articles)
18. 289_hyde_park_protesters_image (8 articles)
19. 315_deaths_heat_heatrelated_mortality (8 articles)
20. 23_health_lancet_diseases_pollution (7 articles)
21. 530_sharks_shark_fins_fin (7 articles)
22. 504_amoc_atlantic_collapse_circulation (7 articles)
23. 33_hurricane_hurricanes_storms_storm (6 articles)
24. 77_fish_salmon_species_lobster (6 articles)
25. 67_polar_bears_lomborg_bear (5 articles)
26. 506_ryding_shapeshifting_appendages_animals (5 articles)
27. 26_geoengineering_srm_clouds_stratosphere (5 articles)
28. 465_uk_nights_weather_met (5 articles)
29. 99_aviation_airlines_saf_flight (4 articles)
30. 580_seibt_ms_naomi_heartland (4 articles)
31. 516_sport_athletes_sports_athletics (4 articles)
32. 27_reef_coral_bleaching_reefs (4 articles)
33. 509_lake_lakes_water_yao (4 articles)
34. 491_sea_waves_level_rise (4 articles)
35. 21_trees_forests_tree_planting (4 articles)
36. 39_education_students_curriculum_teachers (4 articles)
37. 63_gloninger_journalists_meteorologist_meteorologists (4 articles)
38. 591_art_gallery_painting_paint (4 articles)
39. 609_clarkson_presenter_spoilt_filming (4 articles)
40. 5_biden_bidens_clean_energy (4 articles)
41. 32_pandemic_coronavirus_covid_virus (4 articles)
42. 555_economic_gdp_countries_study (4 articles)
43. 562_plants_wildflowers_flowers_roses (4 articles)
44. 3_amazon_brazil_deforestation_lula (4 articles)
45. 432_ski_snow_resorts_snowmaking (4 articles)
46. 548_coffee_robusta_arabica_stenophylla (4 articles)
47. 58_plastic_plastics_waste_bags (4 articles)
48. 214_military_security_defense_pentagon (4 articles)
49. 64_thunberg_greta_trudeau_montreal (3 articles)
50. 35_matthews_farmers_ff_agricultural (3 articles)

--- DW ---
 1. -1_in_the_that_of (175 articles)
 2. 0_ipcc_countries_un_report (44 articles)
 3. 499_germany_germanys_german_afd (16 articles)
 4. 2_ice_arctic_sheet_sea (10 articles)
 5. 13_record_july_copernicus_hottest (9 articles)
 6. 6_meat_food_foods_beef (9 articles)
 7. 9_heat_heatwaves_europe_extreme (9 articles)
 8. 541_germany_flooding_floods_belgium (8 articles)
 9. 29_india_heat_asia_thailand (8 articles)
10. 532_german_berlin_activists_wissing (8 articles)
11. 12_greece_heatwave_europe_italy (8 articles)
12. 40_monsoon_rains_india_himachal (7 articles)
13. 36_soil_biodiversity_land_soils (7 articles)
14. 364_court_case_dutch_litigation (7 articles)
15. 16_china_kerry_chinese_beijing (6 articles)
16. 301_eu_european_eus_member (6 articles)
17. 7_kenya_food_africa_drought (6 articles)
18. 8_africa_kenya_african_continent (6 articles)
19. 432_ski_snow_resorts_snowmaking (5 articles)
20. 97_el_nino_nina_la (5 articles)
21. 583_hunger_food_insecurity_nutrition (4 articles)
22. 56_wine_grapes_varieties_vineyards (4 articles)
23. 11_protest_rebellion_protesters_police (4 articles)
24. 51_fire_california_fires_wildfires (4 articles)
25. 493_disasters_wmo_losses_deaths (4 articles)
26. 23_health_lancet_diseases_pollution (4 articles)
27. 17_companies_fink_blackrock_firms (4 articles)
28. 451_iraq_iraqs_water_tigris (4 articles)
29. 1_australia_apps_albanese_australias (4 articles)
30. 24_montana_plaintiffs_trial_state (3 articles)
31. 515_fountain_vatican_rome_museums (3 articles)
32. 459_pakistan_pakistans_sindh_halla (3 articles)
33. 120_migration_displacement_displaced_refugees (3 articles)
34. 536_tourism_travel_tourismrelated_cruise (3 articles)
35. 99_aviation_airlines_saf_flight (3 articles)
36. 294_biden_bidens_agreement_president (3 articles)
37. 472_children_unicef_childrens_child (3 articles)
38. 656_cape_wolski_town_litres (3 articles)
39. 39_education_students_curriculum_teachers (3 articles)
40. 214_military_security_defense_pentagon (3 articles)
41. 26_geoengineering_srm_clouds_stratosphere (3 articles)
42. 25_candidates_republicans_democrats_inslee (2 articles)
43. 107_rudd_brat_thunberg_greta (2 articles)
44. 21_trees_forests_tree_planting (2 articles)
45. 574_species_extinctions_extinction_wiens (2 articles)
46. 509_lake_lakes_water_yao (2 articles)
47. 597_nino_el_wmo_pattern (2 articles)
48. 22_dioxide_ppm_atmosphere_co (2 articles)
49. 297_vortex_weirding_arctic_polar (2 articles)
50. 617_bangladesh_khadija_bangladeshs_shrimp (2 articles)

--- ECONOMIST ---
 1. -1_in_the_that_of (276 articles)
 2. 0_ipcc_countries_un_report (54 articles)
 3. 50_russian_ukraine_ukrainian_putin (41 articles)
 4. 46_inflation_rates_interest_prices (27 articles)
 5. 15_china_chinese_chinas_beijing (26 articles)
 6. 30_ai_chatgpt_intelligence_artificial (18 articles)
 7. 486_lithium_mining_nickel_metals (12 articles)
 8. 2_ice_arctic_sheet_sea (11 articles)
 9. 17_companies_fink_blackrock_firms (10 articles)
10. 402_film_films_truman_movie (7 articles)
11. 584_erdogan_turkeys_turkish_turkey (6 articles)
12. 4_nigeria_state_nigerian_sudan (5 articles)
13. 22_dioxide_ppm_atmosphere_co (5 articles)
14. 5_biden_bidens_clean_energy (5 articles)
15. 489_exxon_oil_shareholders_company (5 articles)
16. 652_fertility_population_growth_demographic (5 articles)
17. 500_wallacewells_haiku_my_fiction (5 articles)
18. 1_australia_apps_albanese_australias (5 articles)
19. 680_india_indias_modi_sj (5 articles)
20. 9_heat_heatwaves_europe_extreme (4 articles)
21. 7_kenya_food_africa_drought (4 articles)
22. 19_beach_coastal_beaches_sea (4 articles)
23. 139_music_song_art_museum (4 articles)
24. 13_record_july_copernicus_hottest (4 articles)
25. 36_soil_biodiversity_land_soils (3 articles)
26. 452_italian_berlusconi_italys_italy (3 articles)
27. 33_hurricane_hurricanes_storms_storm (3 articles)
28. 427_twitter_musk_users_misinformation (3 articles)
29. 413_ppm_reached_british_switchingoff (3 articles)
30. 97_el_nino_nina_la (3 articles)
31. 32_pandemic_coronavirus_covid_virus (3 articles)
32. 34_evs_nuclear_cannabis_ev (3 articles)
33. 6_meat_food_foods_beef (3 articles)
34. 10_uk_ccc_net_zero (3 articles)
35. 450_shipping_imo_ships_maritime (3 articles)
36. 626_tax_ton_tonnes_helm (3 articles)
37. 615_israel_israeli_palestinian_palestinians (3 articles)
38. 434_water_jarraud_groundwater_supplies (3 articles)
39. 451_iraq_iraqs_water_tigris (3 articles)
40. 8_africa_kenya_african_continent (3 articles)
41. 26_geoengineering_srm_clouds_stratosphere (3 articles)
42. 87_americans_percent_poll_yale (3 articles)
43. 459_pakistan_pakistans_sindh_halla (3 articles)
44. 312_models_caldeira_grubb_predictions (3 articles)
45. 400_francis_pope_encyclical_catholic (3 articles)
46. 463_debt_default_house_mccarthy (3 articles)
47. 428_financial_banks_fed_bank (3 articles)
48. 56_wine_grapes_varieties_vineyards (3 articles)
49. 40_monsoon_rains_india_himachal (3 articles)
50. 478_debt_imf_countries_mottley (3 articles)

--- FOLHA ---
 1. 3_amazon_brazil_deforestation_lula (145 articles)
 2. 18_brazil_brazilian_bolsonaro_deaths (88 articles)
 3. -1_in_the_that_of (75 articles)
 4. 606_samaniego_pachaka_tsonkiri_rio (9 articles)
 5. 30_ai_chatgpt_intelligence_artificial (3 articles)
 6. 267_argentina_argentinas_massa_milei (3 articles)
 7. 46_inflation_rates_interest_prices (2 articles)
 8. 0_ipcc_countries_un_report (2 articles)
 9. 507_niche_heating_exposed_lenton (2 articles)
10. 6_meat_food_foods_beef (2 articles)
11. 528_rainfall_oneday_maximum_event (1 articles)
12. 621_boundaries_planetary_boundary_safe (1 articles)
13. 161_thunberg_greta_her_thunbergs (1 articles)
